Name	Cast Image	image	Cast Sound	Field Sound	Tag	RelativeX	RelativeY	TranslateX	TranslateY	FPS	Cast Time (seconds)	Aftercast Delay (seconds)	Skill	Area	Shape
CrossCall	attack	crosscall	attack	slash	SLASH, SHINE, PURIFY	1	1	0	0	24	0	2	CrossCall	front	basiccircle
Spin Attack	attack	wiccan_cross	attack	slash	SLASH	1	1	0	0	24	0	6.66	Spin Attack	front	basiccircle
Barrier	skill	wiccan_cross	cast	slash	SMASH	0	0	0	0	12	0.5	1	Barrier	self_benefit	widecircle
Witches' Cross	skill	red_spin	fire_charge	slash	SLASH	0	0	0	0	12	0.3	4	Witches' Cross	self	basiccircle
Leg Sweep	attack	wiccan_cross	attack	slash	SLASH, CORRUPT	0	0	0	0	12	0.1	3	Leg Sweep	self	basiccircle
Red Spin	skill	wiccan_cross	cast	slash	WATER	1	1	1	0	12	0.5	1	Red Spin	front	basiccircle
Poison Edge	skill	wiccan_cross	cast	slash	HEAL	0	0	0	0	12	0.5	2	Poison Edge	self_benefit	basiccircle
Sap Shot	skill	wiccan_cross	cast	slash	FIRE	1	0	1	0	12	0.5	1	Sap Shot	front	basiccircle
Heal	skill	wiccan_cross	cast	slash	FIRE	1	0	1	0	12	0.5	1	Heal	front	basiccircle
Attack Boost	skill	wiccan_cross	cast	buff	BUFF	1	0	1	0	12	0.5	3	Attack Boost	self_benefit	basiccircle
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
Barrier															
Summon Teruko															
Get-Well Charm															
Summon Diotima															
